id,scores
0,0.112834
1,0.109142
2,0.094748
3,0.136572
4,0.131867
5,0.110372
6,0.140876
7,0.112784
8,0.150424
9,0.123910
10,0.131862
11,0.125312
12,0.074154
13,0.114607
14,0.147787
15,0.123316
16,0.115773
17,0.127573
18,0.136213
19,0.141790
20,0.071618
21,0.096544
22,0.143482
23,0.137805
24,0.124922
25,0.092831
26,0.144135
27,0.080303
28,0.061489
29,0.139109
30,0.102732
31,0.106871
32,0.129247
33,0.131984
34,0.120563
35,0.125362
36,0.121649
37,0.112318
38,0.122042
39,0.130975
40,0.147607
41,0.130478
42,0.144252
43,0.145280
44,0.132573
45,0.132404
46,0.131195
47,0.112896
48,0.136068
49,0.118639
50,0.132573
51,0.069088
52,0.105099
53,0.131484
54,0.121416
55,0.116527
56,0.065907
57,0.139536
58,0.108191
59,0.137278
60,0.067968
61,0.135176
62,0.127668
63,0.064489
64,0.105850
65,0.120676
66,0.117942
67,0.144092
68,0.069297
69,0.102827
70,0.132501
71,0.128002
72,0.149709
73,0.122258
74,0.129307
75,0.111010
76,0.104942
77,0.139491
78,0.142065
79,0.120484
80,0.119887
81,0.112475
82,0.095100
83,0.113908
84,0.120373
85,0.126208
86,0.084170
87,0.125681
88,0.088867
89,0.112647
90,0.109324
91,0.112901
92,0.139297
93,0.124112
94,0.132248
95,0.114751
96,0.139725
97,0.126934
98,0.134493
99,0.146972
100,0.129927
101,0.114025
102,0.148717
103,0.131730
104,0.144749
105,0.138059
106,0.126095
107,0.109227
108,0.063394
109,0.108798
110,0.119485
111,0.056465
112,0.150267
113,0.134351
114,0.069479
115,0.130311
116,0.135419
117,0.080731
118,0.117120
119,0.077735
120,0.078591
121,0.036551
122,0.111882
123,0.114205
124,0.150097
125,0.130608
126,0.117111
127,0.113343
128,0.142423
129,0.122111
130,0.134472
131,0.118844
132,0.141939
133,0.142147
134,0.104930
135,0.102804
136,0.128131
137,0.135031
138,0.116592
139,0.127465
140,0.142114
141,0.122865
142,0.134831
143,0.113503
144,0.126447
145,0.119081
146,0.110384
147,0.129875
148,0.144616
149,0.093856
150,0.113336
151,0.114363
152,0.146456
153,0.144121
154,0.122101
155,0.118928
156,0.086953
157,0.107209
158,0.110526
159,0.101835
160,0.138606
161,0.090056
162,0.139127
163,0.124289
164,0.082043
165,0.114092
166,0.136531
167,0.129286
